,District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
0,Wan Chai ,"Block C, Villa Lotto",05/03/2020,"Case 105, 108"
1,Central and Western,"Block A, Po Shan Mansion",05/03/2020,"Case 106, 116"
2,Southern,"Scenic Villa, Scenic Villa Drive",05/03/2020,Case 107
3,Southern,"Block 31, Baguio Villa",05/03/2020,Case 111
4,Wan Chai,"Block 1, Swiss Towers",06/03/2020,Case 110
5,Central and Western,341 Des Voeux Road West,06/03/2020,Case 116
6,Wan Chai,Envoy Garden,07/03/2020,Case 114
7,Yuen Long,"Tower 1, La Grove",07/03/2020,Case 115
8,Southern,"Block 28, Baguio Villa",09/03/2020,"Case notified by the health authority of Canada and Case 117, 118"
9,Tuen Mun,"On Hei House, Siu Hei Court",10/03/2020,"Case 120, 121"
10,Sha Tin,"Mau Lam House, Kwong Lam Court",10/03/2020,Case 122
11,Tsuen Wan ,"Tower 7, Bellagio",10/03/2020,"Case 123, 129"
12,Kwun Tong,"Block T, Telford Gardens",10/03/2020,Case 125
13,Kwun Tong,"Block 26, Phase 2, Laguna City",10/03/2020,"Case 126,127"
14,Sai Kung,Yee Ching House Yee Ming Estate,10/03/2020,"Case 58,128"
15,Kwai Tsing,iPlace,12/03/2020,"Case 130, 131,133 and 138"
16,Central and Western,"Serene Court, 35 Sai Ning Street ",12/03/2020,Case 132
17,Tai Po,"Ng Tung Chai, Lam Tsuen",13/03/2020,Case 134
18,Central and Western,View Villa,13/03/2020,Case 135
19,Southern,18 Stanley Main Street,13/03/2020,Case 136
20,Wan Chai,"Block A, Tai Hang Terrace, 5 Chun Fai Road",13/03/2020,Case 137
21,Eastern,Cornell Centre ,13/03/2020,Case 139
22,Tai Po,"Heng Tai House, Fu Heng Estate",13/03/2020,"Case 119, 124, 140"
23,Sai Kung ,684 Clear Water Bay Road ,13/03/2020,Case 141
24,Kwai Tsing ,Tivoli Garden,13/03/2020,Case 142
25,North,"Lai Ming House, Wah Ming Estate",14/03/2020,Case 143
26,Sai Kung,The Palisades,14/03/2020,Case 145
27,Eastern,"Fort Mansion, 25-27 Fort Street",14/03/2020,Case 146
28,Central & Western,"Kellett View Town Houses, 65 Mount Kellett Road",14/03/2020,"Case 147, 148"
29,Southern,"Wah Cheong House, Wah Fu 2 Estate",15/03/2020,Case 149
30,Yau Tsim Mong,Hotel ICON,15/03/2020,Case 150
31,Yau Tsim Mong,"Block A, Chungking Mansions",15/03/2020,Case 151
32,Tuen Mun,"Tower 1, Oceania Heights",15/03/2020,Case 152
33,Shatin,"Block 10, Pristine Villa",15/03/2020,Case 153
34,Kowloon City,8 Hok Ling Street,15/03/2020,Case 154
35,Wong Tai Sin,"Lung Chu House, Lung Poon Court",15/03/2020,Case 155
36,Central & Western,Island Shangri-La,15/03/2020,Case 156
37,Tai Po,"Block 16, Mayfair By The Sea",16/03/2020,"Case 157, 158"
38,Southern,The Redhill Peninsula,16/03/2020,Case 160
39,Tuen Mun,"Block 4, Tuen Mun Town Plaza",16/03/2020,Case 161
40,Central & Western,"Emerald Garden, 86 Pok Fu Lam Road",16/03/2020,Case 163
41,Yau Tsim Mong,"Tower 7, the Coronation",17/03/2020,Case 162
42,Wong Tai Sin,"Choi Wah House, Choi Fai Estate",17/03/2020,Case 167
43,Wan Chai,"Tower 2, the Zenith",17/03/2020,Case 168
44,Central and Western,Wellington Place (non-residential),03/03/2020,Case 105 and 108
45,Central and Western,"South China Building, 1 Wyndham Street (non-residential)",03/03/2020,Case notified by the health authority of Canada and Case 117
46,Islands,"Lot No. 1116, Praya South, Cheung Chau (non-residential)",04/03/2020,Case 107
47,Islands,111D Tai Sun Back Street  (non-residential),04/03/2020,Case 107
48,Islands,101-103 San Hing Street (non-residential),04/03/2020,Case 107
49,Central and Western,Canossa Hospital (non-residential),05/03/2020,Case 106
50,Central and Western,Hong Kong Museum of Medical Sciences (non-residential),05/03/2020,Case 110
51,Central and Western,Hong Kong Industrial Building (non-residential),05/03/2020,Case 116
52,Southern,Aberdeen Municipal Services Building (non-residential),05/03/2020,Case 118
53,Wan Chai,Lee Garden One (non-residential),06/03/2020,"Case 114, 154"
54,Southern,550 Victoria Road (non-residential),06/03/2020,Case 118
55,Tsuen Wan,Bellagio Mall (non-residential),07/03/2020,Case 123 and 129
56,Tai Po,Tai Po Mega Mall (non-residential),07/03/2020,Case 124
57,Tuen Mun,"Shopping Centre, Melody Garden (non-residential)",08/03/2020,Case 120 and 121
58,Sha Tin ,Po Fook Memorial Hall  (non-residential),08/03/2020,Case 125
59,Yau Tsim Mong,Mongkok Metro (non-residential),08/03/2020,Case 125
60,Yau Tsim Mon,182 Reclamation Street (non-residential),08/03/2020,Case 125
